Customer_ID,City,Customer Lifetime Value,Age,Response,Coverage,Education,Effective To Date,Employment_Status,Gender,Income,Location_Code,Marital Status,Monthly Premium Auto,Total Written Premium,Losses,Loss Ratio,Growth Rate,Commissions,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Number of previous policies,Policy_Type,Policy_Rating,Renew_Offer_Type,Sales_Channel,Total Claim Amount,Feedback,Job,Company,Credit Card Provider
AM83668,Mumbai,4282.27,29,No,Extended,Diploma,18-03-2019,Unemployed,Male,152980,Suburban,Married,130,31118,5478,0.319,-4.723,4209,1,63,1,1,13,Privileged,Good,Offer 2,Online,36064.759,Not Given,Therapist,Whitney and Ingram,VISA 19 digit
AX66262,Pune,8148.11,36,No,Premium,Diploma,29-07-2020,Retired,Female,17924,Urban,Married,239,30780,6987,0.15,-9.453,1316,45,43,2,5,12,Privileged,Good,Offer 2,Call Center,58842.806,Average,Building control surveyor,Wilson Group,Maestro
DR57690,Pune,5484.26,49,Yes,Premium,PhD,18-10-2019,On leave,Male,207942,Rural,Divorced,87,46241,1138,0.834,2.73,1708,32,22,0,7,3,Personal,Excellent,Offer 4,Other,77946.359,Satisfactory,Barrister,Cole and Ali,Maestro
DS48825,Delhi,8046.23,38,No,Premium,Master,03-11-2020,Retired,Female,114918,Urban,Married,188,8988,9031,0.924,-5.759,1423,0,19,1,3,17,Special,Bad,Offer 1,Branch,74912.667,Not Given,Politician's assistant,Kelly-Cohen,American Express
DZ80094,Indore,8743.27,43,Yes,Basic,Graduate,22-08-2018,Unemployed,Female,452991,Suburban,Divorced,78,6955,3959,0.308,4.852,2490,23,16,2,9,9,Personal,Bad,Offer 3,Other,65156.536,Satisfactory,Printmaker,Smith LLC,JCB 16 digit
EZ22044,Delhi,1528.67,40,No,Premium,Master,26-12-2018,Unemployed,Female,453110,Suburban,Widowed,209,30882,451,0.356,-4.531,9356,7,8,0,2,5,Corporate,Good,Offer 2,Other,53064.857,Excellent,Corporate investment banker,Osborne-Dixon,American Express
FE54431,Bhopal,8619.95,37,No,Extended,Master,28-12-2019,Employed,Male,337621,Rural,Single,30,38508,2065,0.534,-1.037,8963,12,54,0,3,14,Special,Average,Offer 2,Branch,17711.959,Not Given,Interior and spatial designer,Casey and Sons,JCB 16 digit
GE10803,Hyderabad,6140.51,43,Yes,Premium,Diploma,08-09-2019,Employed,Female,200520,Suburban,Married,181,13496,662,0.63,2.718,6996,1,41,0,0,4,Privileged,Bad,Offer 4,Branch,43127.772,Satisfactory,Programme researcher,Nelson and Perez,Diners Club / Carte Blanche
HW80992,Mumbai,2543.07,44,No,Extended,Graduate,21-02-2019,Retired,Male,147949,Suburban,Divorced,135,10621,8808,0.064,5.838,5985,19,45,0,5,4,Corporate,Average,Offer 2,Agent,14638.1,Average,Psychologist,Jackson-Mathis,Diners Club / Carte Blanche
JF79793,Indore,6902.01,37,No,Basic,Graduate,19-09-2018,Retired,Female,25165,Suburban,Widowed,226,43339,3697,0.456,-5.176,3985,23,13,2,2,6,Corporate,Average,Offer 1,Online,19410.195,Horrible,Designer,Harris and Lee,VISA 16 digit
JV84672,Kolkata,1307.57,44,Yes,Basic,Grade XII,02-01-2019,Employed,Female,368837,Urban,Married,233,46994,1514,0.706,-2.608,8225,42,92,2,1,12,Privileged,Good,Offer 4,Call Center,68664.349,Average,Technical brewer,Dalton-Hickman,VISA 16 digit
MN98017,Bengaluru,3721.87,42,No,Extended,Graduate,15-12-2018,Employed,Male,183051,Rural,Married,60,6051,6448,0.128,-0.965,8588,7,83,1,1,17,Privileged,Good,Offer 1,Other,49317.812,Horrible,Telecommunications researcher,Mason LLC,VISA 16 digit
OC52919,Delhi,3723.35,33,Yes,Basic,Master,27-11-2020,On leave,Male,25701,Urban,Married,151,27796,7567,0.728,9.51,3032,42,60,1,0,8,Personal,Average,Offer 4,Other,10456.577,Not Given,Learning mentor,Fowler-Ross,VISA 19 digit
OR10766,Indore,5323.84,36,No,Extended,Graduate,20-12-2019,Unemployed,Male,26713,Suburban,Single,230,45312,7066,0.798,-8.92,9820,37,14,1,9,7,Corporate,Bad,Offer 2,Branch,87258.835,Satisfactory,IT consultant,Clark and Watts,VISA 16 digit
OR76613,Delhi,2903.09,32,No,Premium,Master,28-01-2019,On leave,Female,52714,Urban,Divorced,33,5610,6414,0.902,-4.015,403,47,62,0,1,17,Corporate,Average,Offer 4,Branch,41867.255,Bad,Paediatric nurse,Tanner and Howard,JCB 16 digit
PJ65364,Kolkata,5567.33,32,Yes,Extended,Graduate,20-11-2018,Retired,Female,347106,Rural,Single,230,42345,8558,0.321,3.621,8618,27,79,2,9,13,Special,Bad,Offer 2,Call Center,47010.151,Excellent,Training and development officer,Brown-Perkins,JCB 15 digit
RE81022,Pune,5831.24,31,No,Premium,Master,20-07-2019,Employed,Female,340828,Urban,Single,217,10535,1317,0.961,2.212,6898,3,66,2,3,15,Personal,Excellent,Offer 3,Online,30316.222,Excellent,IT sales professional,Gates-Mccall,JCB 16 digit
RR11169,Kolkata,2378.63,28,Yes,Basic,Graduate,10-08-2020,Unemployed,Male,150844,Urban,Married,120,42771,6406,0.282,5.589,8805,4,38,2,3,3,Privileged,Bad,Offer 2,Agent,10323.452,Horrible,Seismic interpreter,Wise-Robinson,JCB 16 digit
SC51441,Indore,4079.62,40,No,Extended,Master,09-06-2018,Employed,Male,285924,Rural,Divorced,114,5516,2868,0.958,9.552,3412,4,46,2,3,8,Corporate,Average,Offer 1,Call Center,82688.242,Good,Naval architect,Hicks Inc,VISA 16 digit
TI91189,Chennai,3909.38,34,No,Basic,Graduate,29-05-2020,Unemployed,Female,42151,Rural,Divorced,214,36157,3551,0.08,3.857,9387,41,31,0,8,6,Privileged,Excellent,Offer 3,Agent,59786.292,Excellent,Pension scheme manager,Chavez and Sons,Discover
TN35223,Delhi,5932.68,33,No,Extended,Grade X,01-09-2018,Employed,Male,491919,Suburban,Single,53,8546,1056,0.015,3.023,5586,12,92,1,4,7,Personal,Good,Offer 1,Branch,53712.657,Good,Garment/textile technologist,Ford and Wright,Maestro
UL32275,Indore,9181.4,31,Yes,Premium,Graduate,09-02-2020,Retired,Male,462221,Rural,Divorced,48,44382,7232,0.558,5.78,9020,18,64,0,0,10,Personal,Average,Offer 1,Branch,61919.815,Excellent,Translator,Evans Ltd,Maestro
UL36140,Hyderabad,3364.64,49,No,Premium,Graduate,20-12-2020,On leave,Female,314428,Urban,Married,98,39768,1733,0.798,-8.872,6830,37,28,2,4,10,Corporate,Excellent,Offer 1,Call Center,19620.874,Average,Physiotherapist,Bell-Ramsey,Discover
