Customer_ID,City,Customer Lifetime Value,Age,Response,Coverage,Education,Effective To Date,Employment_Status,Gender,Income,Location_Code,Marital Status,Monthly Premium Auto,Total Written Premium,Losses,Loss Ratio,Growth Rate,Commissions,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Number of previous policies,Policy_Type,Policy_Rating,Renew_Offer_Type,Sales_Channel,Total Claim Amount,Feedback,Job,Company,Credit Card Provider
EI90608,Indore,9597.85,44,Yes,Basic,Diploma,03-11-2020,On leave,Female,396971,Rural,Widowed,32,46729,2574,0.115,-5.323,3838,12,92,1,6,6,Corporate,Excellent,Offer 4,Online,58070.738,Average,Furniture designer,Morris-Williams,American Express
ES42056,Pune,3594.78,37,No,Premium,Grade X,30-06-2019,Retired,Male,49007,Rural,Married,130,39199,3711,0.289,-2.374,9534,38,28,2,7,15,Corporate,Bad,Offer 2,Call Center,47514.087,Average,Surveyor,Miller-Winters,JCB 16 digit
EZ45375,Kolkata,1985.01,44,Yes,Basic,Diploma,28-08-2019,Employed,Male,123205,Suburban,Divorced,114,27878,2404,0.72,-3.014,4921,20,70,2,8,16,Privileged,Average,Offer 1,Call Center,86190.616,Good,Animal technologist,Clark-Reilly,VISA 16 digit
GK88187,Pune,6830.95,31,Yes,Extended,Graduate,14-11-2020,Employed,Male,35261,Urban,Married,109,14997,7992,0.329,9.278,3109,16,54,0,4,10,Corporate,Excellent,Offer 4,Branch,27589.18,Good,Tax inspector,West-Green,JCB 16 digit
GO93546,Chennai,3656.05,29,Yes,Basic,Master,14-04-2019,Employed,Male,294657,Rural,Widowed,47,49778,1066,0.602,-2.642,172,24,68,0,2,4,Special,Bad,Offer 1,Agent,48289.606,Bad,Journalist,Dean and Gutierrez,Discover
HA95477,Chennai,6863.03,46,Yes,Basic,Graduate,05-08-2018,Retired,Male,323641,Urban,Widowed,138,47477,5513,0.728,-5.799,7166,36,83,2,8,7,Special,Excellent,Offer 1,Call Center,35543.927,Satisfactory,Architectural technologist,Braun and Sons,Diners Club / Carte Blanche
HB92625,Bhopal,1208.06,47,Yes,Extended,Graduate,05-02-2020,Retired,Female,490001,Rural,Divorced,241,14879,3509,0.978,1.025,174,48,42,0,5,3,Privileged,Bad,Offer 4,Other,23126.713,Bad,Sales promotion account executive,Daniels LLC,Maestro
HD68104,Delhi,9806.03,25,Yes,Premium,PhD,10-10-2020,Employed,Male,230312,Urban,Single,243,23099,404,0.378,4.461,8103,12,4,0,9,14,Personal,Excellent,Offer 4,Online,79653.214,Not Given,Conservation officer,Rice and Bennett,JCB 16 digit
IL54765,Hyderabad,8324.63,40,No,Basic,Grade XII,15-03-2019,Employed,Male,118475,Urban,Single,95,17265,3761,0.376,-8.846,6969,29,70,1,1,7,Corporate,Excellent,Offer 4,Agent,46460.261,Average,Nature conservation officer,Moore and Davis,VISA 19 digit
IU63203,Indore,5439.67,39,No,Basic,Master,13-10-2018,Unemployed,Female,450677,Suburban,Married,233,42759,3677,0.191,-0.857,2941,24,67,1,9,12,Corporate,Bad,Offer 1,Branch,25440.257,Excellent,Accountant,Anderson and Price,JCB 15 digit
IX50752,Pune,2996.01,49,No,Basic,PhD,04-09-2020,On leave,Female,221579,Suburban,Widowed,101,39503,7862,0.231,-6.028,9011,20,34,1,3,7,Privileged,Good,Offer 3,Other,48698.117,Excellent,Development worker,Tucker and Bates,JCB 16 digit
IY28454,Delhi,6124.01,50,No,Basic,PhD,23-08-2019,Unemployed,Male,366445,Suburban,Widowed,41,39176,6444,0.605,-2.423,8537,12,54,0,6,11,Corporate,Excellent,Offer 3,Online,93909.801,Horrible,Systems analyst,Payne-Chen,Mastercard
KN88240,Chennai,2751.06,44,Yes,Extended,Master,24-05-2020,Employed,Female,202562,Urban,Divorced,198,21312,9182,0.325,-5.814,2581,46,26,2,2,9,Privileged,Excellent,Offer 4,Other,14240.308,Horrible,Chief Financial Officer,Maldonado and Mckinney,JCB 15 digit
LP76193,Hyderabad,5692.6,27,No,Extended,PhD,30-01-2020,Unemployed,Male,76126,Urban,Widowed,130,12269,3813,0.203,-4.755,2893,27,51,1,2,5,Special,Average,Offer 3,Other,63903.764,Good,Farm manager,Martinez and Sons,VISA 16 digit
LU57980,Indore,7595.21,29,Yes,Basic,Diploma,14-01-2019,Unemployed,Male,243929,Rural,Divorced,238,30259,7725,0.094,-7.092,8324,43,95,0,0,16,Corporate,Bad,Offer 3,Branch,46174.431,Average,Fish farm manager,Mitchell-Washington,Discover
NF30313,Bhopal,9608.95,38,Yes,Premium,Diploma,24-11-2019,On leave,Female,465088,Rural,Married,64,47557,5176,0.107,-8.434,1005,11,40,0,4,6,Privileged,Average,Offer 4,Agent,45175.886,Good,Lighting technician,Rogers-Brown,Maestro
NJ80857,Bhopal,3264.12,28,Yes,Extended,Master,15-10-2018,Retired,Female,135419,Rural,Widowed,63,26966,209,0.575,7.29,4393,19,34,0,6,17,Corporate,Excellent,Offer 3,Online,44267.186,Excellent,Civil engineer,Chen-Price,American Express
OI14587,Kolkata,5042.83,47,Yes,Premium,PhD,26-10-2018,On leave,Female,497232,Urban,Single,117,22888,2507,0.035,-4.008,185,24,90,2,8,16,Corporate,Excellent,Offer 4,Call Center,14989.655,Not Given,Public librarian,Hamilton-Mcbride,VISA 13 digit
OL64198,Mumbai,1636.66,40,Yes,Basic,Grade XII,14-05-2020,Unemployed,Female,349919,Suburban,Married,232,20592,7073,0.297,4.647,8910,0,16,2,2,13,Personal,Good,Offer 2,Branch,81412.402,Bad,Publishing rights manager,Hamilton and Holloway,Maestro
PQ68353,Chennai,3601.04,26,Yes,Basic,Master,24-09-2020,On leave,Male,298431,Rural,Married,127,43589,3278,0.945,-8.883,8780,38,24,1,5,7,Special,Excellent,Offer 2,Other,41186.816,Excellent,Programmer,Hernandez PLC,Mastercard
QC33355,Mumbai,7126.89,36,Yes,Premium,PhD,28-03-2020,Unemployed,Female,489307,Suburban,Divorced,196,17340,1160,0.626,5.503,5629,41,60,0,6,6,Corporate,Bad,Offer 4,Online,10193.375,Bad,Historic buildings inspector/conservation officer,Roberson PLC,Diners Club / Carte Blanche
QR87304,Chennai,1995.99,48,No,Extended,Graduate,16-12-2019,Employed,Male,488353,Rural,Single,61,41447,6106,0.776,9.93,284,32,86,1,9,15,Privileged,Bad,Offer 2,Other,72388.467,Excellent,Scientist,Rodriguez-Stephens,Maestro
SM59096,Hyderabad,1936.13,34,No,Extended,Diploma,12-09-2018,Retired,Female,19785,Rural,Divorced,214,42780,1007,0.277,-5.651,5535,14,23,0,7,17,Special,Average,Offer 1,Call Center,17062.333,Excellent,Software engineer,Shannon-Lucas,JCB 15 digit
WN27389,Hyderabad,7411.23,49,Yes,Premium,Grade XII,28-02-2019,On leave,Female,215022,Suburban,Divorced,60,11441,2641,0.831,1.353,2604,1,10,0,7,8,Corporate,Good,Offer 4,Call Center,77940.0,Satisfactory,Gaffer,Stewart-Lawson,Discover
ZK27359,Kolkata,4042.45,28,No,Extended,Diploma,04-10-2018,Retired,Female,470171,Urban,Single,95,14700,6551,0.774,-3.878,599,9,13,0,1,11,Corporate,Bad,Offer 1,Agent,69994.117,Horrible,Civil Service fast streamer,Higgins-James,VISA 16 digit
