Customer_ID,City,Customer Lifetime Value,Age,Response,Coverage,Education,Effective To Date,Employment_Status,Gender,Income,Location_Code,Marital Status,Monthly Premium Auto,Total Written Premium,Losses,Loss Ratio,Growth Rate,Commissions,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Number of previous policies,Policy_Type,Policy_Rating,Renew_Offer_Type,Sales_Channel,Total Claim Amount,Feedback,Job,Company,Credit Card Provider
AD37788,Bhopal,3312.17,29,Yes,Premium,PhD,13-09-2019,On leave,Male,153078,Rural,Married,179,27728,9832,0.834,-1.075,6606,16,16,0,4,4,Special,Excellent,Offer 2,Online,91919.041,Average,Surveyor,Martinez-Terry,American Express
BX65129,Mumbai,8569.75,46,Yes,Extended,Grade XII,24-08-2020,On leave,Male,200595,Suburban,Married,83,25133,293,0.817,-2.24,3639,48,72,2,4,4,Personal,Excellent,Offer 1,Online,81794.727,Good,Race relations officer,Nichols Ltd,VISA 16 digit
CP60475,Chennai,7357.3,26,No,Extended,Graduate,13-08-2020,Retired,Female,123197,Rural,Widowed,137,37863,3168,0.605,8.252,3909,9,39,2,5,4,Special,Good,Offer 1,Branch,75039.833,Good,Counselling psychologist,Adams Group,VISA 13 digit
CP77676,Pune,9416.7,38,Yes,Premium,Grade XII,16-10-2020,Unemployed,Female,309021,Rural,Widowed,100,31550,5322,0.776,-2.221,2916,43,63,1,5,18,Personal,Good,Offer 3,Agent,15175.949,Bad,Aeronautical engineer,Sawyer PLC,Maestro
CW12495,Chennai,9899.27,40,Yes,Basic,Grade XII,11-04-2020,On leave,Male,152157,Rural,Widowed,192,18776,9777,0.961,8.045,7589,43,44,1,0,9,Privileged,Good,Offer 3,Agent,66312.524,Excellent,Musician,Cordova LLC,Mastercard
DG31784,Kolkata,9648.22,48,No,Basic,Master,09-07-2020,On leave,Female,293701,Urban,Divorced,101,49512,3435,0.017,8.5,7737,48,83,1,0,14,Special,Bad,Offer 2,Agent,93064.29,Excellent,Ranger/warden,Nichols and Morris,Diners Club / Carte Blanche
FS54781,Kolkata,7445.26,48,No,Premium,Grade XII,20-05-2019,Employed,Female,39601,Rural,Divorced,126,48057,1547,0.114,-2.292,6343,32,31,1,7,6,Privileged,Average,Offer 1,Agent,36589.658,Excellent,Engineer,Smith PLC,JCB 16 digit
GR52441,Indore,3476.1,32,No,Premium,PhD,23-09-2018,Employed,Female,290303,Rural,Single,53,43730,3916,0.093,-3.979,2847,39,36,0,0,8,Corporate,Bad,Offer 1,Agent,32819.423,Average,Educational psychologist,Knox-Schwartz,Discover
IF58767,Pune,7813.74,50,No,Extended,PhD,21-07-2020,Unemployed,Female,13089,Rural,Single,206,29825,3227,0.044,2.55,6870,7,91,1,8,10,Corporate,Bad,Offer 1,Other,73335.354,Not Given,Administrator,Stewart Inc,American Express
IQ76202,Kolkata,9217.86,43,Yes,Basic,Diploma,24-08-2020,Employed,Female,107468,Rural,Widowed,118,20950,3639,0.424,3.606,8862,46,21,2,1,12,Corporate,Excellent,Offer 2,Branch,48510.756,Bad,Intelligence analyst,Fox-Cox,JCB 16 digit
