Customer_ID,City,Customer Lifetime Value,Age,Response,Coverage,Education,Effective To Date,Employment_Status,Gender,Income,Location_Code,Marital Status,Monthly Premium Auto,Total Written Premium,Losses,Loss Ratio,Growth Rate,Commissions,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Number of previous policies,Policy_Type,Policy_Rating,Renew_Offer_Type,Sales_Channel,Total Claim Amount,Feedback,Job,Company,Credit Card Provider
BH73602,Delhi,1646.44,42,Yes,Extended,PhD,19-11-2019,Unemployed,Female,144463,Rural,Widowed,110,35225,648,0.97,1.257,4868,30,64,0,4,9,Privileged,Average,Offer 2,Call Center,76380.985,Average,Site engineer,Willis-Rodriguez,JCB 16 digit
BK44385,Mumbai,7381.78,32,Yes,Extended,PhD,18-03-2019,Employed,Male,459608,Suburban,Widowed,179,46099,8160,0.919,-0.95,289,22,56,0,8,7,Corporate,Good,Offer 4,Branch,83540.602,Average,Surveyor,Rogers-Jones,Mastercard
CR71931,Mumbai,9336.51,32,No,Premium,Grade XII,17-06-2020,Unemployed,Female,97199,Urban,Single,215,42475,4306,0.654,-9.796,6265,15,3,0,1,3,Privileged,Bad,Offer 4,Online,47763.575,Good,Medical illustrator,Wise-Esparza,Mastercard
EE21298,Indore,3367.95,32,Yes,Basic,Graduate,17-10-2019,On leave,Male,321391,Urban,Divorced,67,16934,8823,0.367,2.125,42,38,57,1,3,15,Special,Average,Offer 1,Agent,24818.909,Satisfactory,Engineer,Bowers and Powell,Mastercard
EO16745,Chennai,2727.49,34,Yes,Premium,Grade X,12-04-2019,Unemployed,Male,435523,Suburban,Divorced,155,39542,9142,0.886,4.039,2554,22,40,2,8,4,Privileged,Good,Offer 1,Online,97890.591,Not Given,Designer,Williams LLC,VISA 13 digit
ES48394,Delhi,4505.38,35,Yes,Basic,Grade XII,30-10-2019,On leave,Male,70536,Suburban,Married,156,46853,3117,0.04,-8.177,7215,47,31,0,2,9,Special,Good,Offer 2,Branch,96221.127,Good,Architectural technologist,Lucas and Davis,Discover
EU95825,Pune,6091.32,43,Yes,Basic,Graduate,16-09-2019,Retired,Male,417203,Rural,Widowed,88,11770,4088,0.185,-6.11,6061,26,55,1,0,17,Personal,Bad,Offer 2,Branch,44055.62,Bad,Librarian,Clayton Inc,Diners Club / Carte Blanche
GW70079,Bengaluru,9703.67,49,No,Premium,Graduate,22-04-2020,Unemployed,Female,163455,Rural,Widowed,36,20828,9590,0.327,2.071,5909,27,76,2,1,17,Privileged,Bad,Offer 1,Branch,71265.993,Satisfactory,Loss adjuster,Walker-Johnson,VISA 13 digit
HB90020,Hyderabad,3536.92,31,No,Extended,PhD,13-10-2020,Unemployed,Female,292700,Suburban,Widowed,246,17639,5554,0.013,-0.291,2016,3,12,0,1,17,Personal,Bad,Offer 2,Other,71935.079,Good,Tourist information centre manager,Austin Inc,JCB 16 digit
IM50423,Delhi,2662.41,38,Yes,Extended,Grade XII,18-11-2019,Employed,Female,13559,Rural,Married,148,48951,7426,0.593,4.596,8957,31,25,1,9,18,Privileged,Good,Offer 4,Online,87115.241,Horrible,Nurse,Thomas and Pratt,VISA 19 digit
KM80402,Hyderabad,8853.91,39,Yes,Basic,PhD,18-09-2018,On leave,Female,137194,Rural,Married,212,5471,1791,0.658,2.466,1397,8,67,2,3,11,Special,Excellent,Offer 3,Online,77556.602,Satisfactory,Producer,Schmidt Ltd,VISA 13 digit
LI31350,Kolkata,8748.73,49,No,Premium,Diploma,13-08-2019,Retired,Male,19530,Urban,Married,178,24992,3626,0.784,-0.328,5268,17,85,1,3,12,Personal,Good,Offer 1,Call Center,19275.256,Average,Administrator,Davenport and Boone,VISA 16 digit
LS34071,Bhopal,9043.42,42,No,Extended,Grade X,18-09-2018,On leave,Male,132100,Urban,Widowed,58,22594,2451,0.809,9.616,7105,42,24,2,6,12,Privileged,Average,Offer 1,Agent,36081.815,Good,Technical brewer,Silva and Smith,Mastercard
LV95624,Hyderabad,9312.48,25,Yes,Extended,Grade X,26-01-2019,Unemployed,Male,291204,Suburban,Single,103,23059,9291,0.214,8.797,1644,16,87,0,9,16,Personal,Excellent,Offer 3,Agent,80289.387,Excellent,Loss adjuster,Ramos-Cole,Maestro
