Customer_ID,City,Customer Lifetime Value,Age,Response,Coverage,Education,Effective To Date,Employment_Status,Gender,Income,Location_Code,Marital Status,Monthly Premium Auto,Total Written Premium,Losses,Loss Ratio,Growth Rate,Commissions,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Number of previous policies,Policy_Type,Policy_Rating,Renew_Offer_Type,Sales_Channel,Total Claim Amount,Feedback,Job,Company,Credit Card Provider
AD96099,Kolkata,2194.21,45,Yes,Basic,PhD,21-09-2019,Unemployed,Male,117613,Urban,Single,39,44699,1310,0.777,-8.309,7393,25,34,1,3,5,Privileged,Average,Offer 2,Other,92250.251,Excellent,Scientist,Davis and Ferrell,JCB 16 digit
BB70055,Bengaluru,2826.94,50,Yes,Extended,Diploma,09-05-2020,Unemployed,Male,303833,Suburban,Single,61,14440,1725,0.82,8.448,5518,28,37,1,9,4,Personal,Average,Offer 1,Other,84421.629,Average,Chief Operating Officer,Payne LLC,Diners Club / Carte Blanche
BX85117,Chennai,9948.99,38,No,Extended,Master,23-12-2018,Unemployed,Female,55622,Rural,Single,93,27357,1406,0.103,-2.317,3583,2,66,0,3,13,Special,Good,Offer 1,Branch,23190.794,Excellent,Chartered accountant,Hall Inc,VISA 16 digit
EB67693,Bhopal,1522.97,28,No,Extended,Grade XII,17-03-2020,On leave,Female,133246,Urban,Widowed,60,5722,4567,0.215,-2.261,125,48,43,1,2,17,Corporate,Excellent,Offer 2,Agent,21265.444,Average,Pharmacist,Perez and Johnson,JCB 16 digit
FH25496,Chennai,6504.8,47,No,Basic,Grade XII,21-11-2020,Unemployed,Male,22056,Suburban,Divorced,197,6631,8521,0.148,-3.842,4777,8,57,0,0,5,Privileged,Excellent,Offer 4,Agent,32527.944,Excellent,Holiday representative,Li and Barker,American Express
II83671,Bengaluru,9171.89,35,No,Basic,Grade XII,11-08-2020,Retired,Male,311232,Rural,Single,97,40801,3886,0.391,-4.609,2913,2,36,2,8,13,Special,Excellent,Offer 4,Agent,59177.759,Good,Insurance underwriter,Espinoza-Carey,JCB 16 digit
JO70419,Bhopal,2354.96,34,No,Premium,Diploma,04-01-2019,Unemployed,Female,284748,Rural,Married,225,33840,9843,0.436,3.377,4518,29,69,1,3,18,Personal,Excellent,Offer 4,Agent,82446.19,Good,Site engineer,Warren Group,Discover
JX19087,Chennai,7965.34,43,Yes,Premium,Graduate,20-11-2019,Employed,Female,73124,Urban,Single,55,6727,1871,0.243,2.081,3802,8,82,1,3,8,Corporate,Average,Offer 4,Agent,81871.271,Excellent,Environmental education officer,Martinez and Carrillo,JCB 16 digit
JZ71256,Bengaluru,7576.21,29,No,Basic,Graduate,01-08-2019,Employed,Male,399366,Rural,Divorced,239,34354,44,0.229,-3.582,7537,45,62,0,6,13,Privileged,Average,Offer 3,Other,26962.837,Excellent,Runner,Crane-Allen,VISA 16 digit
LQ71726,Bengaluru,4148.39,46,Yes,Extended,Grade X,12-05-2020,Unemployed,Female,47528,Rural,Single,94,33750,8054,0.907,4.253,6380,41,78,0,7,7,Privileged,Good,Offer 2,Branch,52262.914,Horrible,Exhibitions officer,Harrington Ltd,JCB 16 digit
MA92815,Chennai,9248.16,37,No,Premium,Grade X,27-04-2020,Employed,Male,27296,Urban,Married,40,30435,2691,0.83,-5.807,3006,32,30,1,7,15,Special,Good,Offer 3,Call Center,10757.987,Bad,Accountant,Jackson-Sutton,JCB 16 digit
NL83879,Bengaluru,4461.21,50,No,Basic,Graduate,18-10-2020,Unemployed,Male,461624,Suburban,Married,237,35590,3851,0.6,-1.4,8735,2,39,1,2,17,Personal,Bad,Offer 1,Branch,57088.047,Bad,Higher education careers adviser,Smith Group,VISA 13 digit
